# wlstart: 490.0
# wlend: 1000.0
# countthresh: 10000
# aqpixstart: 46
# aqpixend: 963
#  wavelenth in nm 	 intensity in counts
5.696019999999999754e+02	3.947421737938596298e+00
5.701620000000000346e+02	4.015667351973684518e+00
5.707210000000000036e+02	3.632154194078947462e+00
5.712809999999999491e+02	3.393382264254385827e+00
5.718400000000000318e+02	2.961623492324561457e+00
5.723990000000000009e+02	3.766706825657894608e+00
5.729589999999999463e+02	4.150741913377192560e+00
5.735180000000000291e+02	2.697053316885964946e+00
5.740779999999999745e+02	2.800386650219298001e+00
5.746369999999999436e+02	3.517750685307017289e+00
5.751960000000000264e+02	2.537746299342105161e+00
5.757559999999999718e+02	2.855991913377192937e+00
5.763150000000000546e+02	3.371601562500000426e+00
5.768750000000000000e+02	2.628443667763157965e+00
5.774339999999999691e+02	3.332649808114034773e+00
5.779930000000000518e+02	3.462294544956140641e+00
5.785529999999999973e+02	3.368259457236842280e+00
5.791119999999999663e+02	2.923342790570175431e+00
5.796710000000000491e+02	3.500355948464912714e+00
5.802309999999999945e+02	4.388777001096491048e+00
5.807899999999999636e+02	4.014035773026315645e+00
5.813490000000000464e+02	4.003329632675439065e+00
5.819089999999999918e+02	3.514557702850876986e+00
5.824679999999999609e+02	4.367886650219297451e+00
5.830270000000000437e+02	3.572092790570175591e+00
5.835869999999999891e+02	5.188584018640351125e+00
5.841459999999999582e+02	5.752439281798245041e+00
5.847050000000000409e+02	4.360154194078947221e+00
5.852649999999999864e+02	6.406469983552630865e+00
5.858239999999999554e+02	6.386991913377193519e+00
5.863830000000000382e+02	6.354355948464912807e+00
5.869429999999999836e+02	7.106812088815789075e+00
5.875019999999999527e+02	7.740842790570175325e+00
5.880610000000000355e+02	8.059084018640351843e+00
5.886200000000000045e+02	7.605395422149122453e+00
5.891799999999999500e+02	7.647325246710525271e+00
5.897390000000000327e+02	9.483110334429824206e+00
5.902980000000000018e+02	1.035398314144736709e+01
5.908569999999999709e+02	9.873978755482456293e+00
5.914170000000000300e+02	1.131064542214912194e+01
5.919759999999999991e+02	1.228678138706140466e+01
5.925349999999999682e+02	1.360502261513157762e+01
5.930940000000000509e+02	1.261624629934210517e+01
5.936530000000000200e+02	1.375466296600877314e+01
5.942129999999999654e+02	1.415624191337719218e+01
5.947720000000000482e+02	1.639553577302631382e+01
5.953310000000000173e+02	1.655149629934210509e+01
5.958899999999999864e+02	1.672500068530701611e+01
5.964489999999999554e+02	1.842043489583333482e+01
5.970090000000000146e+02	1.844482086074561522e+01
5.975679999999999836e+02	1.826744805372807079e+01
5.981269999999999527e+02	2.021288226425438950e+01
5.986860000000000355e+02	2.107059717653508812e+01
5.992450000000000045e+02	2.173971559758771832e+01
5.998039999999999736e+02	2.208427261513157802e+01
6.003630000000000564e+02	2.339374191337719466e+01
6.009230000000000018e+02	2.385672436951754349e+01
6.014819999999999709e+02	2.447759717653508815e+01
6.020410000000000537e+02	2.572127700109649240e+01
6.026000000000000227e+02	2.578074629934210549e+01
6.031589999999999918e+02	2.522618050986842064e+01
6.037179999999999609e+02	2.901810594846491043e+01
6.042770000000000437e+02	2.813897875548245509e+01
6.048360000000000127e+02	2.919844805372807173e+01
6.053949999999999818e+02	2.833686472039473969e+01
6.059550000000000409e+02	2.967704015899122894e+01
6.065140000000000100e+02	3.102159717653508864e+01
6.070729999999999791e+02	3.207668050986842445e+01
6.076319999999999482e+02	3.240369366776315729e+01
6.081910000000000309e+02	3.438421559758771906e+01
6.087500000000000000e+02	3.617175507127193157e+01
6.093089999999999691e+02	3.688911910635965086e+01
6.098680000000000518e+02	3.786086910635965097e+01
6.104270000000000209e+02	3.896858401864034960e+01
6.109859999999999900e+02	3.987783401864035682e+01
6.115449999999999591e+02	4.275638226425438404e+01
6.121040000000000418e+02	4.408668489583332928e+01
6.126630000000000109e+02	4.514505770285087749e+01
6.132219999999999800e+02	4.498961472039473364e+01
6.137809999999999491e+02	4.600522436951754202e+01
6.143400000000000318e+02	4.797258840460526130e+01
6.148990000000000009e+02	4.896188226425438472e+01
6.154579999999999700e+02	4.813100068530702202e+01
6.160170000000000528e+02	5.029573314144736429e+01
6.165760000000000218e+02	5.159204454495614556e+01
6.171349999999999909e+02	5.261642612390350848e+01
6.176939999999999600e+02	5.424168489583333042e+01
6.182530000000000427e+02	5.532308401864035119e+01
6.188110000000000355e+02	5.675096998355262912e+01
6.193700000000000045e+02	5.883675507127192361e+01
6.199289999999999736e+02	6.042692612390350604e+01
6.204880000000000564e+02	6.175832524671053392e+01
6.210470000000000255e+02	6.222130331688596527e+01
6.216059999999999945e+02	6.531147436951754059e+01
6.221649999999999636e+02	6.719550507127193839e+01
6.227240000000000464e+02	6.860146559758771900e+01
6.232830000000000155e+02	7.173988226425439052e+01
6.238410000000000082e+02	7.347478577302631209e+01
6.243999999999999773e+02	7.521846559758772344e+01
6.249589999999999463e+02	7.764781793676900179e+01
6.255180000000000291e+02	7.917366150402047253e+01
6.260769999999999982e+02	7.975652261513158692e+01
6.266359999999999673e+02	8.268002700109649084e+01
6.271950000000000500e+02	8.378774191337718946e+01
6.277530000000000427e+02	8.865422436951755003e+01
6.283120000000000118e+02	8.978825507127191941e+01
6.288709999999999809e+02	9.006263665021928944e+01
6.294299999999999500e+02	9.262210594846492029e+01
6.299890000000000327e+02	9.563771559758772867e+01
6.305470000000000255e+02	9.786823314144736230e+01
