Date and Time 1 = Tue Apr 1 15:38:22.551 2025
Software Version 1 = 4.31.30024.0
Temperature (C) 1 = -70
Model 1 = DU920P_OE
Data Type 1 = Counts (Bg Corrected)
Acquisition Mode 1 = Single Scan
Trigger Mode 1 = Internal
Exposure Time (secs) 1 = 2
Readout Mode 1 = Full Vertical Binning
Horizontal binning 1 = 1
Extended Dynamic Range 1 = off
Horizontally flipped 1 = false
Vertical Shift Speed (usecs) 1 = 12.9
Pixel Readout Rate (MHz) 1 = 0.05
Baseline Clamp 1 = OFF
Clock Amplitude 1 = Normal
Output Amplifier 1 = Conventional
Serial Number 1 = SR1278
Pre-Amplifier Gain 1 = 4x
Spurious Noise Filter Mode 1 = No Filter
Photon counted 1 = false
Data Averaging Filter Mode 1 = No Filter
SR303i 1 = 
Wavelength (nm) 1 = 599.985
Grating Groove Density (l/mm) 1 = 299.906
Grating Blaze 1 = 500
Output Flipper Port 1 = Direct
Input Side Slit Width (um) 1 = 200
Date and Time 2 = Tue Apr 1 15:35:51.890 2025
Software Version 2 = 4.31.30024.0
Temperature (C) 2 = -70
Model 2 = DU920P_OE
Data Type 2 = Counts (Bg Corrected)
Acquisition Mode 2 = Single Scan
Trigger Mode 2 = Internal
Exposure Time (secs) 2 = 2
Readout Mode 2 = Full Vertical Binning
Horizontal binning 2 = 1
Extended Dynamic Range 2 = off
Horizontally flipped 2 = false
Vertical Shift Speed (usecs) 2 = 12.9
Pixel Readout Rate (MHz) 2 = 0.05
Baseline Clamp 2 = OFF
Clock Amplitude 2 = Normal
Output Amplifier 2 = Conventional
Serial Number 2 = SR1278
Pre-Amplifier Gain 2 = 4x
Spurious Noise Filter Mode 2 = No Filter
Photon counted 2 = false
Data Averaging Filter Mode 2 = No Filter
SR303i 2 = 
Wavelength (nm) 2 = 800.005
Grating Groove Density (l/mm) 2 = 299.906
Grating Blaze 2 = 500
Output Flipper Port 2 = Direct
Input Side Slit Width (um) 2 = 200
Glued = True

Wavelength	Spectrumeter Counts
583.71399	626.0
583.98993	582.0
584.26587	559.0
584.54181	601.0
584.81775	600.0
585.09363	628.0
585.36957	627.0
585.64545	627.0
585.92133	646.0
586.19727	679.0
586.47314	627.0
586.74902	658.0
587.0249	678.0
587.30078	656.0
587.5766	646.0
587.85248	695.0
588.12836	665.0
588.40417	672.0
588.68005	717.0
588.95587	711.0
589.23169	735.0
589.50751	726.0
589.78339	743.0
590.05914	723.0
590.33496	716.0
590.61078	701.0
590.8866	766.0
591.16241	724.0
591.43817	753.0
591.71399	769.0
591.98975	769.0
592.2655	793.0
592.54126	781.0
592.81702	807.0
593.09277	812.0
593.36853	808.0
593.64429	834.0
593.92004	852.0
594.1958	828.0
594.4715	809.0
594.74725	881.0
595.02295	863.0
595.29865	874.0
595.57434	864.0
595.8501	879.0
596.12579	865.0
596.40149	888.0
596.67712	904.0
596.95282	914.0
597.22852	895.0
597.50415	952.0
597.77985	907.0
598.05548	932.0
598.33112	977.0
598.60681	976.0
598.88245	950.0
599.15808	983.0
599.43372	1015.0
599.70929	1007.0
599.98492	986.0
600.26056	1018.0
600.53613	1031.0
600.81177	1002.0
601.08734	1027.0
601.36292	1042.0
601.63849	1049.0
601.91412	1049.0
602.1897	1066.0
602.46521	1051.0
602.74078	1108.0
603.01636	1084.0
603.29193	1144.0
603.56744	1153.0
603.84296	1135.0
604.11853	1112.0
604.39404	1158.0
604.66956	1138.0
604.94507	1168.0
605.22058	1154.0
605.49609	1195.0
605.77161	1218.0
606.04706	1237.0
606.32257	1187.0
606.59802	1225.0
606.87354	1215.0
607.14899	1276.0
607.42444	1235.0
607.69989	1251.0
607.97534	1251.0
608.25079	1306.0
608.52625	1258.0
608.8017	1273.0
609.07709	1298.0
609.35254	1292.0
609.62793	1358.0
609.90338	1321.0
610.17877	1352.0
610.45416	1355.0
610.72955	1396.0
611.00494	1343.0
611.28033	1400.0
611.55573	1402.0
611.83105	1418.0
612.10645	1404.0
612.38177	1425.0
612.65717	1465.0
612.9325	1477.0
613.20782	1422.0
613.48315	1470.0
613.75848	1517.0
614.03381	1443.0
614.30914	1437.0
614.58441	1544.0
614.85974	1557.0
615.13501	1569.0
615.41034	1503.0
615.68561	1598.0
615.96088	1534.0
616.23615	1553.0
616.51141	1573.0
616.78668	1556.0
617.06195	1605.0
617.33722	1604.0
617.61243	1622.0
617.8877	1630.0
618.1629	1645.0
618.43811	1657.0
618.71332	1667.0
618.98859	1656.0
619.26373	1716.0
619.53894	1641.0
619.81415	1712.0
620.08936	1739.0
620.3645	1733.0
620.63971	1743.0
620.91486	1754.0
621.19006	1734.0
621.46521	1754.0
621.74036	1802.0
622.0155	1798.0
622.29065	1793.0
622.56573	1854.0
622.84088	1807.0
623.11603	1834.0
623.39111	1874.0
623.66626	1796.0
623.94135	1882.0
624.21643	1841.0
624.49152	1883.0
624.7666	1928.0
625.04169	1974.0
625.31677	1967.0
625.5918	1980.0
625.86688	1915.0
626.14191	1971.0
626.41699	1987.0
626.69202	2015.0
626.96704	2027.0
627.24207	2017.0
627.51709	2008.0
627.79211	2029.0
628.06714	2041.0
628.3421	2044.0
628.61713	2125.0
628.89209	2105.0
629.16705	2157.0
629.44208	2099.0
629.71704	2135.0
629.992	2149.0
630.26697	2135.0
630.54187	2119.0
